NRO,AMBITO,NSE1,NSEGRUP,MACRO_REGION,SEXO,GEDAD,EDAD,NIVEDUGRUP,P1A,P1B,P1C,P1D,P1E,P2A,P2B,P2C,P2D,P3A,P3B,P3C,P3D,P3E,P3F,P3G,P3H,P3I,P3J,P3K,P3L,P4$1_COD,P4$2_COD,P4$3_COD,P4$4_COD,P5$1,P5$2,P5$3,P5OTRO,P6,P7,P8,P9,P10,P11A,P11B,P11C,P11D,P12,P13A,P13B,P13C,P13D,P13E,P14,P15,P16,P17,P18,P19,P20A,P20B,P20C,P20D,P20E,P20F,P20G,P20H,P21A,P21B,P21C,P21D,P22,P23,P24,P25,P26A,P26B,P26C,P26D,P26E,P26F,P26G,P26H,P26I,P26J,P27$1,P27$2,P27OTRO1,P27OTRO2,P28,P29A,P29B,P29C,P29D,P29E,P30,P31,P32A,P32B,P32C,P32D,P32E,P32F,P32G,P32H,P32I,P33,P34,P35,P36,P36OTRO,P37,P37OTRO,P38,P39,P40_0$01,P40_0$02,P40_0$03,P40_0$04,P40_0$05,P40_0$06,P40_0$07,P40_0$08,P40_0$09,P40_0$10,P40_OTRO$09,P40_OTRO$10,P40_MC1$01,P40_MC1$02,P40_MC1$03,P40_MC1$04,P40_MC1$05,P40_MC1$06,P40_MC1$07,P40_MC1$08,P40_MC1$09,P40_MC1$10,P40_MC2$01,P40_MC2$02,P40_MC2$03,P40_MC2$04,P40_MC2$05,P40_MC2$06,P40_MC2$07,P40_MC2$08,P40_MC2$09,P40_MC2$10,P40MC_OTRO$01,P40MC_OTRO$02,P40MC_OTRO$03,P40MC_OTRO$04,P40MC_OTRO$05,P40MC_OTRO$06,P40MC_OTRO$07,P40MC_OTRO$08,P40MC_OTRO$09,P40MC_OTRO$10,P41A,P41B,P41C,P41D,P42,P43A,P43B,P43C,P43D,P44A$1,P44A$2,P44B$1,P44B$2,P44C$1,P44C$2,P44D$1,P44D$2,P44E,P45$1,P45$2,P45OTRO,P46$1,P46$2,P46OTRO,P47$1,P47$2,P47OTRO,P48$1,P48$2,P48OTRO,P49$1,P49$2,P49OTRO,P50$1,P50$2,P50OTRO,P51$1,P51$2,P52$1,P52$2,P53$1,P53$2,P53OTRO,P54$1,P54$2,P54OTRO,P55A,P55B,P55C,P55D,P55E,P55F,P55G,P56,P57_RECODIFICADA,P57_AGRUPADA,P57_IGLESIAS,P58,P59A,P59B,P59C,P59D,P59E,P60,P61,P62,P63A,P63B,P63C,P63D,P64A,P64B,P64C,P64D,P64E,P65A,P65B,P65C,P65D,P65E,P65F,P65G,P65H,P65I,P66A,P66B,P66C,P66D,P66E,P66F,P66G,P66H,P66I,P67$01,P67$02,P67$03,P67$04,P67$05,P67$06,P67$07,P67$08,P67$09,P67$10,P67$11,P67$12,P67$13,P67$14,P67$15,P67$16,P67OTRO,P68$01,P68$02,P68$03,P68$04,P68$05,P68$06,P68$07,P68$08,P68$09,P68$10,P68$11,P68$12,P68$13,P68$14,P68$15,P68$16,P68OTRO,P69$01,P69$02,P69$03,P69$04,P69$05,P69$06,P69$07,P69$08,P69$09,P69$10,P69$11,P69$12,P69$13,P69$14,P69$15,P69$16,P69OTRO,P70,P70OTRO,P71,P72,P73,P73OTRO,P74,P75,P75OTRO,P76,P77,P78,P79,P82,P83A,P83B,P83C,P83D,P83E,P83F,P83G,P83OTRO,P84,P85,P92,P80,P81,P101,P102
86,1,3,2,1,1,2,35,2,1,1,1,1,2,2,2,2,1,3,3,3,3,3,2,2,2,2,2,2,2,7,3,,,7,3,8,"",2,2,3,2,3,5,3,5,7,3,2,2,1,1,3,5,1,1,1,1,2,3,3,3,3,3,3,3,3,4,4,2,3,2,4,4,1,2,2,3,3,2,2,3,3,3,3,3,5,"","",2,1,1,1,1,1,3,2,2,3,3,3,2,2,2,2,1,3,3,3,3,"",1,"",2007,1,2,1,1,2,2,2,2,2,2,2,"","",,2,2,,,,,,,,,3,3,,,,,,,,"","","","","","","","","","",5,6,7,1,3,2,3,4,5,2,9,10,16,17,21,22,45,50,1,2,"",1,2,"",5,1,"",2,1,"",5,4,"",4,2,"",3,4,1,3,3,6,"",1,2,"",28,26,23,22,60,50,70,1,1,1,"",3,3,3,3,3,3,2,1,2,3,3,2,2,3,2,3,2,3,4,4,3,3,4,3,3,4,4,2,4,2,2,2,3,3,2,2,8,11,12,,,,,,,,,,,,,,"",5,12,,,,,,,,,,,,,,,"",11,12,,,,,,,,,,,,,,,"",2,"",3,2,5,"",1,1,"",5,2,1,1,2,,,,,,,,"",5,1,3,1,17,3,3
87,1,3,2,1,2,1,25,3,2,2,2,2,2,1,2,1,2,2,2,3,3,3,2,1,2,2,2,2,1,7,88,,,3,8,4,"",2,2,3,2,4,6,2,7,7,3,3,2,2,2,2,5,1,1,1,2,3,3,3,3,3,3,3,3,3,4,4,2,3,3,4,4,1,2,3,3,3,2,2,2,3,3,2,3,5,"","",3,1,1,1,1,1,3,2,2,3,3,3,1,2,2,3,1,3,3,3,3,"",1,"",2017,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",6,5,5,1,4,3,3,3,3,3,10,15,17,18,22,23,59,60,1,2,"",1,2,"",1,5,"",2,3,"",5,4,"",5,2,"",1,4,1,2,2,3,"",6,1,"",25,35,18,18,60,38,100,1,1,1,"",2,3,3,4,4,4,2,1,2,2,3,2,2,2,2,3,3,3,4,3,4,3,4,4,4,4,4,1,1,2,2,2,2,2,2,2,5,15,,,,,,,,,,,,,,,"",7,8,,,,,,,,,,,,,,,"",12,,,,,,,,,,,,,,,,"",1,"",3,2,5,"",1,5,"",4,1,1,1,1,2,2,1,2,2,2,2,"",6,3,2,1,5,3,3
88,1,3,2,1,1,2,40,2,2,8,1,1,2,2,2,2,1,3,4,4,4,3,2,2,2,2,2,1,1,10,55,110,,1,2,4,"",3,3,4,3,4,4,2,7,7,3,2,3,2,3,2,0,1,1,2,1,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,1,2,2,3,3,2,2,2,3,3,2,6,5,"","",3,1,1,1,1,1,3,2,2,3,3,3,2,2,2,3,1,4,3,3,3,"",1,"",1998,1,2,1,2,2,2,2,2,2,2,2,"","",,1,,,,,,,,,,7,,,,,,,,,"","","","","","","","","","",6,5,5,1,4,3,3,4,4,14,17,18,23,23,40,41,59,60,1,2,"",1,2,"",1,5,"",1,4,"",5,2,"",5,4,"",2,4,3,6,4,3,"",1,3,"",30,33,25,20,60,55,70,1,1,1,"",2,3,3,3,3,3,2,2,2,3,2,3,2,3,2,2,3,2,4,4,3,4,3,3,4,3,3,1,1,2,1,2,2,2,2,2,6,12,80,,,,,,,,,,,,,,ELECTRONICA,2,15,,,,,,,,,,,,,,,"",11,12,,,,,,,,,,,,,,,"",2,"",3,4,5,"",1,7,"",3,2,1,1,1,1,2,2,2,2,2,2,"",5,2,3,1,17,3,2
89,1,4,3,1,2,1,28,3,2,2,1,2,2,2,2,2,2,3,3,4,3,4,2,1,3,3,3,3,2,3,21,,,2,7,4,"",3,3,4,3,4,6,2,7,7,3,2,2,2,3,3,7,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,1,3,1,1,3,1,2,2,2,3,3,2,3,"","",3,1,1,2,1,1,2,3,2,2,8,2,1,2,1,1,1,5,3,3,1,"",1,"",2017,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",3,7,7,1,4,2,2,2,3,5,12,13,20,21,30,31,50,51,1,2,"",1,5,"",5,1,"",1,2,"",2,5,"",2,5,"",7,9,7,9,5,7,"",7,2,"",25,30,20,18,60,60,80,1,7,4,"",4,4,3,3,3,3,2,2,2,3,2,2,3,3,2,3,3,3,4,4,4,4,4,2,2,2,4,1,1,1,1,1,3,1,1,1,5,6,13,14,15,,,,,,,,,,,,"",5,6,15,,,,,,,,,,,,,,"",5,8,11,14,15,,,,,,,,,,,,"",1,"",4,2,7,"",1,7,"",3,3,2,,2,,,,,,,,"",6,1,3,1,4,2,1
90,1,4,3,1,2,1,18,1,2,2,8,2,2,2,2,1,2,2,2,3,2,1,3,1,1,2,2,2,1,3,61,,,3,7,8,"",3,3,3,3,5,7,7,7,7,4,2,2,1,1,3,4,1,1,2,2,2,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,1,2,2,3,3,2,2,2,3,3,2,5,3,"","",2,1,2,2,1,1,2,3,3,3,2,3,3,2,3,2,2,4,2,3,1,"",1,"",2007,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",4,4,7,1,6,3,3,5,5,7,11,12,18,19,30,31,40,41,1,2,"",1,3,"",1,5,"",4,1,"",4,2,"",4,2,"",2,7,2,7,3,6,"",3,6,"",25,25,25,22,40,40,100,1,1,1,"",2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,3,2,4,3,4,4,4,3,4,4,4,1,2,2,3,3,2,2,2,3,6,11,12,15,,,,,,,,,,,,,"",7,9,10,,,,,,,,,,,,,,"",11,12,15,,,,,,,,,,,,,,"",1,"",3,2,5,"",1,1,"",8,5,2,,1,1,2,2,2,2,2,2,"",4,3,2,7,,3,2
91,1,4,3,1,2,1,19,2,2,2,8,8,2,2,2,1,2,3,3,3,3,1,3,1,2,1,1,3,2,3,7,,,3,7,2,"",3,3,2,2,2,7,2,5,7,1,2,1,2,1,3,6,1,2,2,2,2,2,2,3,2,2,3,2,3,3,3,3,3,4,4,4,1,2,2,2,3,2,2,2,3,2,2,3,2,"","",3,1,1,1,1,1,3,3,2,4,3,4,1,1,2,2,1,5,4,4,2,"",1,"",2007,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",7,1,4,1,1,4,6,2,2,6,12,12,16,18,23,23,59,60,1,2,"",1,2,"",5,2,"",4,2,"",5,4,"",5,4,"",5,7,7,3,5,2,"",2,3,"",28,30,25,20,65,60,90,1,1,1,"",3,2,3,3,3,2,2,2,2,2,3,2,2,2,2,3,3,3,4,4,4,4,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,2,3,4,6,,,,,,,,,,,,"",5,8,9,12,,,,,,,,,,,,,"",8,11,12,,,,,,,,,,,,,,"",1,"",3,5,7,"",1,7,"",4,4,2,,1,2,2,1,2,2,2,2,"",5,3,1,7,,3,1
92,1,4,3,1,1,3,69,1,1,1,1,1,2,2,2,2,1,1,3,4,4,2,2,2,2,4,2,2,2,7,9,3,,2,3,7,"",3,2,3,2,3,2,1,7,7,1,2,2,2,2,2,10,2,1,1,1,4,2,1,2,3,2,2,1,2,3,3,3,2,2,5,5,3,2,3,3,3,3,2,1,2,2,3,7,3,"","",4,1,1,1,1,1,2,2,2,2,3,3,1,1,2,2,1,3,3,2,1,"",1,"",2007,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",7,6,6,1,7,7,3,5,5,6,13,14,18,19,30,30,55,60,1,2,"",1,5,"",5,1,"",5,1,"",4,5,"",4,5,"",2,3,6,2,2,4,"",2,4,"",25,30,26,18,60,65,95,1,3,2,"",1,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,3,3,4,4,1,1,1,2,1,1,1,1,1,8,12,,,,,,,,,,,,,,,"",4,8,12,,,,,,,,,,,,,,"",8,12,,,,,,,,,,,,,,,"",1,"",4,2,7,"",2,1,"",5,3,2,,2,,,,,,,,"",2,1,1,1,12,2,1
93,1,4,3,1,2,2,44,2,2,2,2,2,2,2,2,1,2,4,4,2,4,1,4,1,4,4,4,2,4,10,21,,,3,5,7,"",4,4,2,2,5,2,2,7,7,4,2,2,2,1,3,6,2,1,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,1,3,3,3,3,2,2,2,3,2,3,1,5,"","",4,1,1,1,1,1,3,1,2,2,2,3,1,2,2,1,1,4,3,3,1,"",1,"",2007,1,2,2,2,2,2,2,2,2,1,2,SOBRINO,"",,,,,,,,,2,,,,,,,,,,7,,"","","","","","","","","","",6,6,3,2,7,3,3,3,3,5,12,12,18,18,25,25,50,50,1,2,"",5,1,"",5,1,"",1,2,"",5,4,"",4,5,"",2,1,3,1,1,2,"",2,3,"",25,25,19,19,60,60,80,1,3,2,"",2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,3,3,2,4,4,3,4,4,3,3,3,4,1,1,1,2,1,1,1,1,1,8,12,,,,,,,,,,,,,,,"",5,7,8,11,12,,,,,,,,,,,,"",5,8,,,,,,,,,,,,,,,"",1,"",4,2,7,"",1,7,"",7,4,2,,2,,,,,,,,"",5,3,2,6,,2,2
94,1,4,3,1,1,3,70,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,4,4,4,4,3,7,,,1,3,2,"",4,4,4,4,5,7,7,7,7,3,2,2,2,2,3,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,1,3,4,5,5,1,2,2,3,3,2,2,2,3,2,3,99,99,"","",4,1,1,1,1,1,3,3,3,3,3,4,2,3,3,2,2,4,3,3,3,"",1,"",1970,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",8,5,5,1,3,7,5,2,2,7,15,15,21,21,30,30,60,60,1,2,"",1,2,"",5,1,"",1,2,"",5,4,"",4,5,"",5,8,6,4,2,3,"",2,3,"",23,22,20,20,60,55,80,3,,,"",,2,2,3,2,2,2,2,2,2,3,2,2,3,2,3,3,2,4,4,4,4,3,2,4,2,3,1,1,1,1,1,1,1,1,1,6,7,8,,,,,,,,,,,,,,"",7,8,11,12,,,,,,,,,,,,,"",7,8,11,12,,,,,,,,,,,,,"",1,"",4,2,5,"",1,7,"",4,3,2,,1,1,2,2,2,2,2,2,"",5,1,2,1,9,3,2
95,1,4,3,1,1,2,32,2,1,1,1,2,1,1,2,2,2,2,3,2,2,2,3,1,3,2,2,3,1,7,3,9,,3,8,2,"",2,3,2,3,2,4,2,2,2,1,3,3,1,2,2,9,3,2,1,1,3,3,3,3,3,3,3,3,3,4,4,3,3,2,5,3,1,2,2,2,2,2,2,2,2,2,2,1,5,"","",3,1,2,2,1,1,3,2,3,2,2,2,2,2,2,2,2,4,3,3,3,"",1,"",2007,1,2,2,2,2,2,2,2,2,1,2,TIA,"",,,,,,,,,7,,,,,,,,,,7,,"","","","","","","","","","",7,4,4,1,7,4,4,3,3,3,12,13,18,18,30,30,50,50,1,2,"",5,1,"",5,1,"",1,2,"",2,5,"",2,5,"",5,6,5,7,2,1,"",2,1,"",30,40,30,18,50,50,80,1,1,1,"",2,1,2,3,3,3,2,2,2,2,3,2,2,2,2,3,3,2,4,4,4,4,4,2,2,4,4,3,3,3,2,2,2,3,3,2,2,5,6,8,12,15,,,,,,,,,,,"",1,2,5,12,,,,,,,,,,,,,"",2,8,12,,,,,,,,,,,,,,"",2,"",3,2,10,"",1,1,"",3,1,2,,2,,,,,,,,"",5,1,1,1,9,3,1
96,1,4,3,1,1,2,30,2,2,1,1,1,1,1,2,2,1,2,3,2,4,1,2,1,1,1,3,1,3,9,100,,,2,3,6,"",3,3,2,2,4,2,2,7,2,1,3,3,2,2,2,9,1,2,1,2,3,2,3,2,3,2,3,2,3,4,2,2,2,3,5,5,1,1,2,3,3,2,2,2,3,2,2,3,7,"","",4,1,2,1,1,1,3,2,1,2,2,2,1,2,1,1,2,4,3,3,3,"",1,"",2007,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,7,1,1,5,4,1,6,4,5,11,12,17,18,30,30,50,50,1,4,"",3,5,"",4,2,"",2,4,"",2,5,"",2,5,"",5,1,7,5,2,5,"",6,3,"",23,30,19,19,60,40,82,3,,,"",,3,2,3,3,3,1,2,2,3,3,2,2,2,3,3,3,3,4,4,3,4,3,3,3,3,4,1,1,2,1,2,2,2,1,3,1,2,6,7,10,15,,,,,,,,,,,"",5,11,12,15,,,,,,,,,,,,,"",11,12,,,,,,,,,,,,,,,"",2,"",2,5,10,"",1,7,"",15,13,2,,2,,,,,,,,"",5,3,2,3,3,1,1
97,1,3,2,1,1,3,50,3,2,2,1,2,2,2,1,2,1,4,4,4,4,3,3,2,3,3,3,2,4,22,9,,,3,7,8,"",3,3,3,3,4,1,3,7,7,3,3,3,4,2,3,6,1,1,2,1,4,1,1,2,1,2,2,1,1,2,3,2,4,4,3,3,2,1,3,3,3,3,1,3,3,3,3,2,7,"","",3,1,1,1,1,1,3,2,4,4,4,4,2,4,1,2,3,5,3,3,3,"",2,"",2017,1,2,2,2,1,1,2,2,2,2,2,"","",,,,3,3,,,,,,,,,7,7,,,,,,"","","","","","","","","","",7,7,7,1,7,7,1,1,1,8,13,14,16,16,19,25,35,40,1,5,"",2,1,"",2,1,"",1,2,"",4,2,"",4,1,"",4,7,4,7,8,2,"",7,8,"",25,30,20,18,55,55,69,1,1,1,"",3,3,3,3,3,3,2,2,1,1,2,3,2,1,2,2,3,2,4,4,4,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,2,5,7,8,,,,,,,,,,,,,"",11,12,14,15,,,,,,,,,,,,,"",11,12,,,,,,,,,,,,,,,"",2,"",2,2,5,"",1,3,"",5,6,1,3,1,2,2,1,2,2,2,2,"",7,1,3,1,10,3,1
98,1,3,2,1,1,3,49,2,1,1,1,1,2,2,1,2,2,1,4,4,4,3,2,3,3,2,1,4,1,7,9,3,,2,3,5,"",4,2,3,2,2,2,1,1,7,1,2,2,2,2,3,6,1,1,2,2,4,3,2,3,2,2,3,3,3,1,1,1,1,4,5,5,3,2,2,2,2,2,2,2,3,2,2,6,3,"","",3,1,1,1,1,1,3,3,3,2,3,4,2,2,1,2,2,5,4,5,2,"",1,"",2007,1,2,2,2,2,1,2,2,2,2,2,"","",,,,,3,,,,,,,,,,7,,,,,,"","","","","","","","","","",7,1,1,1,4,2,2,2,2,1,14,15,18,18,22,22,45,50,1,4,"",1,4,"",1,4,"",1,4,"",2,1,"",2,1,"",1,5,1,5,1,4,"",3,4,"",22,22,22,18,55,50,60,1,1,1,"",2,3,3,3,3,2,1,1,1,3,2,3,2,2,2,3,4,3,4,4,4,4,4,3,3,3,4,1,1,1,1,1,1,1,1,1,2,5,6,8,,,,,,,,,,,,,"",2,5,14,15,,,,,,,,,,,,,"",8,11,,,,,,,,,,,,,,,"",1,"",3,2,5,"",1,7,"",8,6,1,2,2,,,,,,,,"",5,1,2,1,17,3,1
99,1,3,2,1,2,3,63,1,2,2,2,2,2,1,2,1,2,3,2,4,4,3,3,2,3,3,3,3,2,3,8,10,,3,2,1,"",4,3,4,4,4,5,2,7,7,4,2,2,2,1,3,7,3,8,2,2,4,3,3,3,3,3,2,3,3,3,3,1,2,4,5,5,1,3,3,3,3,3,3,3,3,3,3,3,6,"","",4,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,1,4,3,3,1,"",1,"",2007,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",6,1,1,1,2,2,2,3,2,5,10,15,18,18,20,20,45,60,1,5,"",1,5,"",1,5,"",1,5,"",5,2,"",5,2,"",2,6,2,5,2,7,"",7,6,"",20,25,18,18,50,60,80,1,1,1,"",3,2,2,2,2,3,2,2,2,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,5,6,7,8,,,,,,,,,,,,,"",2,5,7,8,,,,,,,,,,,,,"",9,14,15,,,,,,,,,,,,,,"",1,"",4,2,5,"",1,6,"",3,2,1,1,2,,,,,,,,"",4,1,2,1,12,2,2
100,1,3,2,1,2,2,33,2,2,8,8,2,2,1,1,2,2,4,4,4,4,3,3,3,2,4,4,3,2,3,7,,,3,8,1,"",3,3,3,4,3,6,1,5,7,1,1,2,2,1,2,6,3,1,2,2,4,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,1,1,3,3,3,3,3,3,3,3,3,3,5,"","",4,1,1,1,1,1,3,2,4,3,3,3,3,3,3,2,2,5,3,3,1,"",1,"",2017,1,2,2,2,2,2,2,2,2,1,2,CUÑADA,"",,,,,,,,,2,,,,,,,,,,7,,"","","","","","","","","","",6,2,2,1,3,3,2,2,2,4,8,13,16,16,19,20,35,50,1,7,"",1,7,"",1,5,"",1,2,"",5,2,"",5,2,"",1,5,7,5,2,6,"",2,7,"",25,25,23,18,50,40,80,1,1,1,"",3,2,2,3,2,2,2,2,4,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,5,7,8,12,,,,,,,,,,,,,"",11,15,,,,,,,,,,,,,,,"",11,,,,,,,,,,,,,,,,"",1,"",4,2,10,"",1,7,"",6,4,1,1,1,1,2,2,2,2,2,2,"",5,1,2,1,12,3,1
101,1,3,2,1,2,2,38,1,1,1,1,1,1,1,2,1,2,2,3,3,2,1,1,1,1,1,1,1,1,3,4,,,3,1,2,"",2,3,3,2,4,7,1,7,7,4,2,2,2,2,2,8,1,1,2,1,4,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,1,1,3,3,3,3,3,3,3,3,3,3,2,"","",3,1,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,5,2,3,1,"",1,"",8888,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,1,1,1,7,3,3,1,2,6,12,15,18,18,30,30,50,50,1,4,"",1,3,"",1,5,"",1,2,"",2,4,"",2,4,"",4,8,3,2,8,7,"",8,7,"",30,30,22,20,50,50,80,1,1,1,"",3,4,3,3,3,3,1,2,2,3,3,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,1,1,1,6,7,8,12,,,,,,,,,,,,,"",5,8,12,,,,,,,,,,,,,,"",5,11,12,,,,,,,,,,,,,,"",1,"",4,3,10,"",1,7,"",5,3,1,2,1,1,2,2,2,2,2,2,"",3,3,1,6,,3,1
102,1,3,2,1,1,1,18,2,1,2,2,1,2,2,1,2,2,3,3,4,4,3,4,2,3,3,2,3,3,7,3,,,3,2,8,"",4,2,3,2,3,4,4,4,2,3,3,2,3,2,3,5,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,1,2,4,5,3,1,2,3,3,3,3,3,3,3,3,3,7,5,"","",2,1,1,1,1,1,3,3,3,3,2,3,2,2,2,3,2,5,3,3,2,"",1,"",2007,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",7,1,1,1,7,7,8,4,2,5,11,13,18,18,25,30,50,50,1,3,"",5,4,"",5,3,"",2,1,"",2,1,"",2,4,"",2,7,9,7,3,6,"",3,6,"",30,25,22,18,65,50,100,3,,,"",,3,3,2,3,2,2,2,2,3,3,2,2,2,2,3,3,3,4,4,3,4,4,3,3,3,4,1,1,1,1,1,1,1,1,1,1,2,8,13,,,,,,,,,,,,,"",5,11,12,15,,,,,,,,,,,,,"",11,12,15,,,,,,,,,,,,,,"",1,"",2,5,5,"",1,6,"",5,3,1,1,2,,,,,,,,"",5,3,2,3,15,2,2
103,1,3,2,1,1,2,34,3,2,2,2,2,2,2,2,2,2,3,3,4,3,2,3,2,2,2,3,2,2,112,2,,,3,7,8,"",3,2,2,2,4,6,2,4,1,2,3,2,2,1,2,6,1,1,2,1,3,2,3,3,3,3,3,3,3,3,3,2,1,3,5,5,5,2,2,3,3,2,2,2,3,2,2,3,6,"","",2,1,1,1,1,1,3,2,3,3,2,4,2,3,2,2,2,5,3,3,3,"",1,"",2007,1,2,2,2,2,2,2,2,2,1,2,TIAS,"",,,,,,,,,3,,,,,,,,,,7,,"","","","","","","","","","",6,4,1,1,5,5,4,2,2,3,7,12,18,20,25,25,50,50,1,3,"",2,3,"",5,3,"",3,5,"",5,4,"",5,4,"",6,7,6,7,4,8,"",1,4,"",22,22,28,16,50,45,60,1,1,1,"",2,4,4,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1,2,2,2,1,2,2,2,2,2,5,6,7,8,12,,,,,,,,,,,"",1,5,8,,,,,,,,,,,,,,"",5,6,8,12,,,,,,,,,,,,,"",1,"",3,5,7,"",1,7,"",3,2,1,1,1,2,2,1,2,2,2,2,"",6,1,1,3,15,3,1
104,1,3,2,1,1,1,29,1,2,1,1,1,1,2,2,2,1,1,1,1,4,1,2,2,2,2,2,2,4,2,3,,,2,3,8,"",3,3,3,3,5,7,2,7,7,2,3,2,2,1,3,6,1,1,1,1,2,3,3,3,3,3,3,3,3,4,4,2,4,4,5,5,1,3,3,3,3,3,2,3,3,3,2,7,3,"","",2,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,4,3,3,2,"",1,"",2017,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",7,1,1,1,8,5,7,7,7,3,6,7,10,11,18,39,45,54,1,2,"",1,5,"",1,5,"",1,2,"",5,4,"",5,4,"",9,8,8,9,3,2,"",2,3,"",20,30,18,17,55,40,80,1,5,3,"",3,4,4,4,4,4,1,1,2,2,3,3,3,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,3,6,8,14,,,,,,,,,,,,"",7,8,12,,,,,,,,,,,,,,"",11,,,,,,,,,,,,,,,,"",1,"",4,5,10,"",1,7,"",2,2,1,1,1,2,2,1,2,2,2,2,"",4,1,1,3,15,1,2
105,1,4,3,1,2,2,36,2,2,8,1,1,2,1,2,1,8,4,3,4,4,4,3,4,4,3,4,4,4,3,8,,,3,7,5,"",4,3,3,3,2,5,1,3,3,2,8,1,3,2,3,6,1,1,1,2,3,3,3,3,2,3,3,3,3,3,8,1,2,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,6,"","",3,1,1,1,1,1,2,2,3,4,4,4,4,3,4,3,4,4,3,3,1,"",1,"",2017,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",7,5,5,3,3,2,2,4,3,3,6,11,18,18,30,33,50,60,1,2,"",1,3,"",1,5,"",1,2,"",4,2,"",4,5,"",2,5,2,7,2,6,"",2,5,"",30,888,888,18,60,888,888,1,1,1,"",2,3,2,1,2,2,1,2,2,2,1,3,2,2,1,8,8,2,4,4,4,4,4,4,4,4,4,2,1,2,3,1,2,2,1,2,5,8,12,,,,,,,,,,,,,,"",2,5,15,,,,,,,,,,,,,,"",5,12,15,,,,,,,,,,,,,,"",1,"",4,2,2,"",1,7,"",6,3,1,1,1,2,1,2,2,2,2,2,"",5,3,2,6,,2,2
106,1,4,3,1,1,3,54,1,1,8,8,2,2,1,1,2,8,3,3,4,4,3,4,4,4,3,4,4,3,3,10,,,2,8,4,"",3,8,2,3,4,3,1,3,7,3,2,4,2,1,3,88,1,2,2,1,3,8,8,8,8,8,8,8,8,4,4,2,3,3,4,5,1,2,3,3,3,2,2,3,3,3,3,3,2,"","",3,1,1,1,1,1,2,2,3,4,4,4,4,8,8,2,2,5,3,3,2,"",1,"",2017,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,5,3,8,3,4,3,3,1,5,13,14,17,18,26,30,45,50,1,5,"",1,5,"",1,5,"",1,2,"",4,5,"",4,1,"",4,5,7,2,3,7,"",3,2,"",26,30,888,27,60,50,888,2,,,"",,3,4,2,3,2,2,1,8,2,1,2,3,1,3,3,4,1,4,4,4,4,4,4,3,4,4,2,1,2,1,2,1,2,2,1,8,,,,,,,,,,,,,,,,"",5,11,12,,,,,,,,,,,,,,"",11,12,15,,,,,,,,,,,,,,"",1,"",4,2,88,"",1,7,"",4,1,1,1,2,,,,,,,,"",3,1,3,1,10,3,2
